 ,Area,Mean,Min,Max,X,Y
1,0,5591,5591,5591,1930,1825
2,0,5269,5269,5269,515,1641
3,0,5107,5107,5107,1928,1762
4,0,4795,4795,4795,1726,1144
5,0,4496,4496,4496,584,1991
6,0,4432,4432,4432,1931,1663
7,0,4348,4348,4348,1918,1526
8,0,4342,4342,4342,1683,1747
9,0,4335,4335,4335,1653,1475
10,0,4289,4289,4289,1243,1972
11,0,4289,4289,4289,1633,1427
12,0,4282,4282,4282,1772,1914
13,0,4282,4282,4282,403,1694
14,0,4171,4171,4171,1716,1859
15,0,4075,4075,4075,1718,1702
16,0,4047,4047,4047,1262,1939
17,0,4022,4022,4022,1225,1872
18,0,3994,3994,3994,718,1662
19,0,3990,3990,3990,1765,1844
20,0,3934,3934,3934,683,1325
21,0,3932,3932,3932,431,1528
22,0,3921,3921,3921,618,1828
23,0,3913,3913,3913,1104,1579
24,0,3904,3904,3904,666,2018
25,0,3872,3872,3872,1581,1857
26,0,3863,3863,3863,428,1208
27,0,3851,3851,3851,1766,1335
28,0,3832,3832,3832,1781,1816
29,0,3799,3799,3799,1194,1973
30,0,3757,3757,3757,646,2032
31,0,3725,3725,3725,985,1793
32,0,3718,3718,3718,1821,1736
33,0,3714,3714,3714,1678,1738
34,0,3708,3708,3708,489,1294
35,0,3667,3667,3667,504,1800
36,0,3648,3648,3648,1355,175
37,0,3644,3644,3644,501,1768
38,0,3639,3639,3639,950,1239
39,0,3626,3626,3626,163,1608
40,0,3611,3611,3611,1954,1566
41,0,3611,3611,3611,755,1512
42,0,3596,3596,3596,1723,1827
43,0,3594,3594,3594,644,1337
44,0,3588,3588,3588,704,1701
45,0,3584,3584,3584,488,1034
46,0,3579,3579,3579,911,2014
47,0,3573,3573,3573,1033,1790
48,0,3541,3541,3541,1613,1325
49,0,3526,3526,3526,1666,1099
50,0,3496,3496,3496,1638,1799
51,0,3479,3479,3479,543,1482
52,0,3475,3475,3475,434,1684
53,0,3454,3454,3454,1669,1609
54,0,3439,3439,3439,1309,1728
55,0,3430,3430,3430,782,1056
56,0,3409,3409,3409,1052,2002
57,0,3406,3406,3406,1715,1475
58,0,3374,3374,3374,1100,1910
59,0,3317,3317,3317,1599,589
60,0,3315,3315,3315,1153,1596
61,0,3312,3312,3312,171,1577
62,0,3308,3308,3308,655,1289
63,0,3300,3300,3300,571,1395
64,0,3297,3297,3297,609,1280
65,0,3291,3291,3291,1238,1626
66,0,3289,3289,3289,523,1316
67,0,3281,3281,3281,1509,1680
68,0,3281,3281,3281,1779,1639
69,0,3233,3233,3233,1170,1587
70,0,3210,3210,3210,1657,1659
71,0,3204,3204,3204,1639,1569
72,0,3193,3193,3193,506,1600
73,0,3184,3184,3184,133,1848
74,0,3169,3169,3169,620,605
75,0,3157,3157,3157,423,1284
76,0,3133,3133,3133,553,1751
77,0,3127,3127,3127,1323,1859
78,0,3103,3103,3103,767,2054
79,0,3092,3092,3092,1434,1182
80,0,3090,3090,3090,1034,1367
81,0,3086,3086,3086,1599,1413
82,0,3076,3076,3076,1101,1774
83,0,3075,3075,3075,568,1338
84,0,3060,3060,3060,1309,1873
85,0,3039,3039,3039,160,1716
86,0,3031,3031,3031,182,1978
87,0,3031,3031,3031,1025,1329
88,0,2994,2994,2994,515,1854
89,0,2992,2992,2992,1103,1073
90,0,2990,2990,2990,1143,1673
91,0,2971,2971,2971,1061,1350
92,0,2969,2969,2969,192,1616
93,0,2969,2969,2969,1208,1334
94,0,2967,2967,2967,1215,1527
95,0,2960,2960,2960,1512,1002
96,0,2956,2956,2956,923,1237
97,0,2943,2943,2943,387,1611
98,0,2939,2939,2939,481,1269
99,0,2937,2937,2937,1345,728
100,0,2917,2917,2917,1555,1323
101,0,2907,2907,2907,1277,392
102,0,2902,2902,2902,32,1865
103,0,2898,2898,2898,212,2001
104,0,2873,2873,2873,903,1111
105,0,2855,2855,2855,21,1697
106,0,2853,2853,2853,1266,1160
107,0,2851,2851,2851,1244,839
108,0,2847,2847,2847,570,1079
109,0,2838,2838,2838,1292,1010
110,0,2836,2836,2836,1246,1063
111,0,2806,2806,2806,1074,1141
112,0,2785,2785,2785,1602,861
113,0,2729,2729,2729,980,627
114,0,2717,2717,2717,645,759
115,0,2714,2714,2714,1091,672
