 ,Area,Mean,Min,Max,X,Y,Slice
1,0,10764,10764,10764,1766,431,2
2,0,10741,10741,10741,1521,140,2
3,0,10652,10652,10652,660,331,2
4,0,9907,9907,9907,180,797,2
5,0,9778,9778,9778,1798,791,2
6,0,9521,9521,9521,1410,357,2
7,0,9489,9489,9489,526,475,2
8,0,9423,9423,9423,1033,596,2
9,0,9354,9354,9354,1734,205,2
10,0,9202,9202,9202,1571,452,2
11,0,9081,9081,9081,1113,486,2
12,0,9061,9061,9061,1352,1067,2
13,0,9032,9032,9032,455,495,2
14,0,8992,8992,8992,1588,778,2
15,0,8921,8921,8921,1622,374,2
16,0,8896,8896,8896,569,522,2
17,0,8869,8869,8869,1625,120,2
18,0,8767,8767,8767,1198,589,2
19,0,8741,8741,8741,1691,93,2
20,0,8725,8725,8725,1484,241,2
21,0,8720,8720,8720,470,451,2
22,0,8691,8691,8691,557,315,2
23,0,8625,8625,8625,1683,530,2
24,0,8444,8444,8444,227,290,2
25,0,8401,8401,8401,113,738,2
26,0,8395,8395,8395,1766,282,2
27,0,8387,8387,8387,1702,754,2
28,0,8207,8207,8207,734,630,2
29,0,8142,8142,8142,1523,216,2
30,0,8102,8102,8102,1466,286,2
31,0,8042,8042,8042,1321,434,2
32,0,8021,8021,8021,1637,756,2
33,0,7912,7912,7912,739,1102,2
34,0,7825,7825,7825,1194,241,2
35,0,7721,7721,7721,1328,462,2
36,0,7670,7670,7670,1340,450,2
37,0,7657,7657,7657,1757,146,2
38,0,7653,7653,7653,1652,915,2
39,0,7635,7635,7635,1612,381,2
40,0,7622,7622,7622,1315,459,2
41,0,7577,7577,7577,580,547,2
42,0,7414,7414,7414,1539,212,2
43,0,7375,7375,7375,445,764,2
44,0,7372,7372,7372,1733,980,2
45,0,7362,7362,7362,1051,272,2
46,0,7304,7304,7304,1699,642,2
47,0,7232,7232,7232,696,1238,2
48,0,7199,7199,7199,64,149,2
49,0,7178,7178,7178,1792,786,2
50,0,7140,7140,7140,1838,449,2
51,0,7091,7091,7091,1660,448,2
52,0,7081,7081,7081,1249,168,2
53,0,7068,7068,7068,1594,129,2
54,0,7060,7060,7060,1320,462,2
55,0,7031,7031,7031,1714,853,2
56,0,6947,6947,6947,1708,385,2
57,0,6847,6847,6847,1595,1138,2
58,0,6805,6805,6805,455,569,2
59,0,6774,6774,6774,1331,451,2
60,0,6737,6737,6737,1535,251,2
61,0,6695,6695,6695,295,114,2
62,0,6690,6690,6690,676,658,2
63,0,6622,6622,6622,1109,1225,2
64,0,6617,6617,6617,1607,117,2
65,0,6589,6589,6589,1312,453,2
66,0,6586,6586,6586,1535,811,2
67,0,6559,6559,6559,1586,135,2
68,0,6521,6521,6521,1347,255,2
69,0,6517,6517,6517,1829,568,2
70,0,6516,6516,6516,570,428,2
71,0,6476,6476,6476,550,372,2
72,0,6466,6466,6466,1805,249,2
73,0,6461,6461,6461,1678,585,2
74,0,6458,6458,6458,1365,856,2
75,0,6449,6449,6449,1611,423,2
76,0,6437,6437,6437,1689,313,2
77,0,6428,6428,6428,459,111,2
78,0,6409,6409,6409,450,986,2
79,0,6397,6397,6397,1788,277,2
80,0,6397,6397,6397,257,82,2
81,0,6319,6319,6319,1579,85,2
82,0,6279,6279,6279,1492,509,2
83,0,6278,6278,6278,1611,121,2
84,0,6262,6262,6262,1068,582,2
85,0,6254,6254,6254,258,746,2
86,0,6231,6231,6231,1442,185,2
87,0,6211,6211,6211,1744,130,2
88,0,6206,6206,6206,1791,270,2
89,0,6144,6144,6144,246,238,2
90,0,6139,6139,6139,1411,1285,2
91,0,6129,6129,6129,51,28,2
92,0,6126,6126,6126,1542,215,2
93,0,6086,6086,6086,1322,915,2
94,0,6077,6077,6077,1650,148,2
95,0,6072,6072,6072,1092,916,2
96,0,6055,6055,6055,422,1054,2
97,0,6043,6043,6043,1665,202,2
98,0,6034,6034,6034,1803,391,2
99,0,6029,6029,6029,212,454,2
100,0,6020,6020,6020,1808,965,2
101,0,5996,5996,5996,571,150,2
102,0,5993,5993,5993,1685,325,2
103,0,5979,5979,5979,1370,226,2
104,0,5913,5913,5913,1633,500,2
105,0,5899,5899,5899,1677,568,2
106,0,5870,5870,5870,1657,496,2
107,0,5868,5868,5868,960,294,2
108,0,5834,5834,5834,858,577,2
109,0,5814,5814,5814,521,242,2
110,0,5789,5789,5789,1781,1118,2
111,0,5783,5783,5783,366,991,2
112,0,5778,5778,5778,1598,141,2
113,0,5760,5760,5760,1185,1169,2
114,0,5738,5738,5738,588,1029,2
115,0,5731,5731,5731,1418,1114,2
116,0,5727,5727,5727,1677,571,2
117,0,5707,5707,5707,1742,83,2
118,0,5662,5662,5662,1191,814,2
119,0,5648,5648,5648,200,890,2
120,0,5645,5645,5645,1673,899,2
121,0,5633,5633,5633,732,838,2
122,0,5621,5621,5621,1608,786,2
123,0,5592,5592,5592,1675,223,2
124,0,5583,5583,5583,1275,308,2
125,0,5573,5573,5573,511,1062,2
126,0,5572,5572,5572,151,1036,2
127,0,5568,5568,5568,613,883,2
128,0,5544,5544,5544,1671,553,2
129,0,5539,5539,5539,1004,1168,2
130,0,5522,5522,5522,490,1109,2
131,0,5508,5508,5508,1731,305,2
132,0,5485,5485,5485,1480,608,2
133,0,5469,5469,5469,1660,551,2
134,0,5461,5461,5461,1721,273,2
135,0,5441,5441,5441,1736,247,2
136,0,5434,5434,5434,1560,353,2
137,0,5430,5430,5430,1672,630,2
138,0,5408,5408,5408,1290,470,2
139,0,5392,5392,5392,1329,481,2
140,0,5379,5379,5379,1453,894,2
141,0,5372,5372,5372,1502,163,2
142,0,5354,5354,5354,1739,784,2
143,0,5352,5352,5352,1226,560,2
144,0,5348,5348,5348,1763,455,2
145,0,5326,5326,5326,1602,843,2
146,0,5317,5317,5317,313,452,2
147,0,5314,5314,5314,1297,465,2
148,0,5311,5311,5311,1473,813,2
149,0,5299,5299,5299,1665,287,2
150,0,5295,5295,5295,1042,140,2
151,0,5273,5273,5273,1772,948,2
152,0,5263,5263,5263,1802,377,2
153,0,5256,5256,5256,1514,770,2
