 ,Area,Mean,Min,Max,X,Y,Slice
483,0,2187,2187,2187,703,569,1
484,0,2187,2187,2187,859,216,1
485,0,2186,2186,2186,807,1166,1
486,0,2185,2185,2185,769,611,1
487,0,2184,2184,2184,113,738,1
488,0,2184,2184,2184,1606,611,1
489,0,2184,2184,2184,1051,272,1
490,0,2183,2183,2183,1399,1184,1
491,0,2183,2183,2183,812,1119,1
492,0,2182,2182,2182,1219,774,1
493,0,2181,2181,2181,1708,1151,1
494,0,2181,2181,2181,1479,864,1
495,0,2180,2180,2180,666,1132,1
496,0,2180,2180,2180,1497,1114,1
497,0,2180,2180,2180,1599,479,1
498,0,2178,2178,2178,528,1138,1
499,0,2178,2178,2178,684,573,1
500,0,2177,2177,2177,805,780,1
501,0,2176,2176,2176,1387,948,1
502,0,2176,2176,2176,1077,744,1
503,0,2175,2175,2175,651,923,1
504,0,2175,2175,2175,1611,423,1
505,0,2174,2174,2174,821,290,1
506,0,2173,2173,2173,1650,851,1
507,0,2172,2172,2172,1145,930,1
508,0,2172,2172,2172,1339,881,1
509,0,2172,2172,2172,1148,570,1
510,0,2171,2171,2171,1291,960,1
511,0,2171,2171,2171,1241,526,1
512,0,2170,2170,2170,162,1095,1
513,0,2170,2170,2170,1482,633,1
514,0,2170,2170,2170,1150,234,1
515,0,2169,2169,2169,1026,536,1
516,0,2169,2169,2169,1776,241,1
517,0,2167,2167,2167,1387,1217,1
518,0,2167,2167,2167,216,900,1
519,0,2167,2167,2167,734,629,1
520,0,2167,2167,2167,1783,576,1
521,0,2166,2166,2166,775,1238,1
522,0,2166,2166,2166,786,1129,1
523,0,2166,2166,2166,702,790,1
524,0,2165,2165,2165,856,1219,1
525,0,2165,2165,2165,711,1055,1
526,0,2165,2165,2165,1454,875,1
527,0,2165,2165,2165,1653,839,1
528,0,2165,2165,2165,1349,330,1
529,0,2164,2164,2164,1404,1266,1
530,0,2164,2164,2164,1136,1095,1
531,0,2164,2164,2164,1681,961,1
532,0,2164,2164,2164,768,944,1
533,0,2164,2164,2164,1670,874,1
534,0,2164,2164,2164,1653,811,1
535,0,2162,2162,2162,1172,731,1
536,0,2161,2161,2161,1746,487,1
537,0,2159,2159,2159,1208,856,1
538,0,2158,2158,2158,635,893,1
539,0,2158,2158,2158,1421,864,1
540,0,2157,2157,2157,1530,1189,1
541,0,2157,2157,2157,849,590,1
542,0,2156,2156,2156,1464,789,1
543,0,2156,2156,2156,1316,267,1
544,0,2155,2155,2155,1044,1100,1
545,0,2154,2154,2154,1116,1042,1
546,0,2154,2154,2154,1651,878,1
547,0,2154,2154,2154,1473,814,1
548,0,2154,2154,2154,1355,726,1
549,0,2154,2154,2154,1319,542,1
550,0,2153,2153,2153,1628,1128,1
551,0,2153,2153,2153,1739,783,1
552,0,2153,2153,2153,1336,584,1
553,0,2152,2152,2152,1667,844,1
554,0,2152,2152,2152,1338,273,1
555,0,2150,2150,2150,1150,1125,1
556,0,2150,2150,2150,1512,780,1
557,0,2150,2150,2150,1139,777,1
558,0,2150,2150,2150,772,768,1
559,0,2149,2149,2149,1502,816,1
560,0,2149,2149,2149,1074,210,1
561,0,2149,2149,2149,1808,203,1
562,0,2148,2148,2148,1432,885,1
