 ,Area,Mean,Min,Max,X,Y,Slice
1,0,4726,4726,4726,1192,741,4
2,0,4604,4604,4604,180,797,4
3,0,4341,4341,4341,478,1128,4
4,0,4331,4331,4331,403,1242,4
5,0,4312,4312,4312,294,790,4
6,0,4158,4158,4158,696,1157,4
7,0,4145,4145,4145,734,630,4
8,0,4133,4133,4133,627,735,4
9,0,4093,4093,4093,570,428,4
10,0,3931,3931,3931,520,1192,4
11,0,3921,3921,3921,757,1111,4
12,0,3900,3900,3900,769,611,4
13,0,3899,3899,3899,764,822,4
14,0,3886,3886,3886,1539,854,4
15,0,3818,3818,3818,1352,1067,4
16,0,3789,3789,3789,1068,582,4
17,0,3785,3785,3785,461,611,4
18,0,3690,3690,3690,1480,925,4
19,0,3690,3690,3690,402,542,4
20,0,3660,3660,3660,155,793,4
21,0,3656,3656,3656,191,677,4
22,0,3590,3590,3590,1166,629,4
23,0,3568,3568,3568,352,830,4
24,0,3567,3567,3567,1376,992,4
25,0,3541,3541,3541,112,780,4
26,0,3525,3525,3525,1126,1212,4
27,0,3518,3518,3518,1476,1172,4
28,0,3512,3512,3512,1209,1215,4
29,0,3494,3494,3494,365,991,4
30,0,3482,3482,3482,588,1029,4
31,0,3469,3469,3469,153,786,4
32,0,3410,3410,3410,424,1074,4
33,0,3352,3352,3352,826,1077,4
34,0,3329,3329,3329,1657,495,4
35,0,3317,3317,3317,1201,393,4
36,0,3299,3299,3299,676,658,4
37,0,3293,3293,3293,594,161,4
38,0,3288,3288,3288,795,901,4
39,0,3286,3286,3286,749,1119,4
40,0,3273,3273,3273,392,268,4
41,0,3266,3266,3266,383,1095,4
42,0,3264,3264,3264,545,745,4
43,0,3262,3262,3262,1733,980,4
44,0,3251,3251,3251,734,851,4
45,0,3236,3236,3236,1114,802,4
46,0,3221,3221,3221,1496,754,4
47,0,3186,3186,3186,1152,1176,4
48,0,3174,3174,3174,1199,1186,4
49,0,3157,3157,3157,299,1132,4
50,0,3150,3150,3150,463,1041,4
51,0,3150,3150,3150,1193,511,4
52,0,3144,3144,3144,1684,549,4
53,0,3142,3142,3142,1589,1253,4
54,0,3133,3133,3133,498,1181,4
55,0,3131,3131,3131,1211,1131,4
56,0,3129,3129,3129,1675,1250,4
57,0,3129,3129,3129,359,928,4
58,0,3117,3117,3117,679,690,4
59,0,3101,3101,3101,706,1220,4
60,0,3099,3099,3099,645,1232,4
61,0,3089,3089,3089,1205,1203,4
62,0,3082,3082,3082,983,1061,4
63,0,3082,3082,3082,1612,926,4
64,0,3081,3081,3081,1311,1109,4
65,0,3080,3080,3080,1190,1099,4
66,0,3071,3071,3071,1198,588,4
67,0,3061,3061,3061,1792,786,4
68,0,3055,3055,3055,14,736,4
69,0,3043,3043,3043,931,1020,4
70,0,3042,3042,3042,521,242,4
71,0,3034,3034,3034,452,1122,4
72,0,3030,3030,3030,565,789,4
73,0,3022,3022,3022,535,468,4
74,0,3018,3018,3018,1195,399,4
75,0,3004,3004,3004,448,810,4
76,0,3000,3000,3000,1773,948,4
77,0,2998,2998,2998,174,1096,4
78,0,2989,2989,2989,459,287,4
79,0,2986,2986,2986,508,1251,4
80,0,2979,2979,2979,423,1247,4
81,0,2959,2959,2959,285,49,4
82,0,2955,2955,2955,216,1051,4
83,0,2950,2950,2950,440,794,4
84,0,2946,2946,2946,704,1204,4
85,0,2942,2942,2942,364,759,4
86,0,2938,2938,2938,258,772,4
87,0,2937,2937,2937,1795,1151,4
88,0,2921,2921,2921,732,787,4
89,0,2921,2921,2921,912,416,4
90,0,2920,2920,2920,346,843,4
91,0,2915,2915,2915,1319,1167,4
92,0,2913,2913,2913,683,103,4
93,0,2911,2911,2911,1661,1184,4
94,0,2911,2911,2911,445,763,4
95,0,2907,2907,2907,189,1160,4
96,0,2907,2907,2907,623,935,4
97,0,2904,2904,2904,1284,440,4
98,0,2900,2900,2900,571,253,4
99,0,2898,2898,2898,97,1111,4
100,0,2898,2898,2898,258,746,4
101,0,2884,2884,2884,1838,449,4
102,0,2883,2883,2883,441,270,4
103,0,2882,2882,2882,570,489,4
104,0,2876,2876,2876,1055,877,4
105,0,2875,2875,2875,296,1112,4
106,0,2861,2861,2861,1840,1128,4
107,0,2845,2845,2845,516,1100,4
108,0,2845,2845,2845,488,837,4
109,0,2844,2844,2844,708,1059,4
110,0,2840,2840,2840,200,890,4
111,0,2840,2840,2840,423,759,4
112,0,2833,2833,2833,1475,1207,4
113,0,2833,2833,2833,462,791,4
114,0,2832,2832,2832,796,1128,4
115,0,2826,2826,2826,513,949,4
116,0,2823,2823,2823,1191,814,4
117,0,2820,2820,2820,612,791,4
118,0,2816,2816,2816,650,886,4
119,0,2812,2812,2812,335,223,4
120,0,2811,2811,2811,514,837,4
121,0,2807,2807,2807,781,560,4
122,0,2803,2803,2803,453,1074,4
123,0,2801,2801,2801,502,199,4
124,0,2800,2800,2800,1425,947,4
125,0,2799,2799,2799,136,1054,4
126,0,2790,2790,2790,661,45,4
127,0,2785,2785,2785,1837,288,4
128,0,2783,2783,2783,1611,422,4
129,0,2782,2782,2782,435,179,4
130,0,2779,2779,2779,509,186,4
131,0,2776,2776,2776,730,1274,4
132,0,2774,2774,2774,365,1200,4
133,0,2770,2770,2770,767,482,4
134,0,2769,2769,2769,254,867,4
135,0,2768,2768,2768,350,914,4
136,0,2767,2767,2767,995,1093,4
137,0,2765,2765,2765,511,1062,4
138,0,2764,2764,2764,1513,1184,4
139,0,2764,2764,2764,1023,483,4
140,0,2763,2763,2763,291,776,4
141,0,2758,2758,2758,611,173,4
142,0,2754,2754,2754,378,1202,4
143,0,2753,2753,2753,578,834,4
144,0,2752,2752,2752,317,338,4
145,0,2751,2751,2751,278,753,4
146,0,2736,2736,2736,574,872,4
147,0,2729,2729,2729,560,192,4
