 ,Area,Mean,Min,Max,X,Y,Slice
1,0,4447,4447,4447,402,542,3
2,0,4386,4386,4386,1199,1186,3
3,0,4312,4312,4312,180,797,3
4,0,4206,4206,4206,708,1059,3
5,0,4179,4179,4179,14,736,3
6,0,4144,4144,4144,579,411,3
7,0,4127,4127,4127,1673,899,3
8,0,4039,4039,4039,659,142,3
9,0,4035,4035,4035,156,1198,3
10,0,3994,3994,3994,470,451,3
11,0,3978,3978,3978,1226,560,3
12,0,3963,3963,3963,1424,947,3
13,0,3954,3954,3954,450,1154,3
14,0,3930,3930,3930,112,779,3
15,0,3924,3924,3924,747,820,3
16,0,3916,3916,3916,1191,814,3
17,0,3915,3915,3915,1100,711,3
18,0,3911,3911,3911,608,876,3
19,0,3903,3903,3903,606,247,3
20,0,3861,3861,3861,254,322,3
21,0,3848,3848,3848,526,475,3
22,0,3832,3832,3832,749,400,3
23,0,3819,3819,3819,294,790,3
24,0,3817,3817,3817,796,1129,3
25,0,3802,3802,3802,1660,1184,3
26,0,3802,3802,3802,719,1106,3
27,0,3801,3801,3801,1211,1131,3
28,0,3801,3801,3801,1090,638,3
29,0,3795,3795,3795,1198,588,3
30,0,3790,3790,3790,785,560,3
31,0,3786,3786,3786,545,745,3
32,0,3751,3751,3751,150,864,3
33,0,3750,3750,3750,1335,814,3
34,0,3738,3738,3738,727,1232,3
35,0,3725,3725,3725,1068,582,3
36,0,3721,3721,3721,1551,343,3
37,0,3712,3712,3712,1077,743,3
38,0,3708,3708,3708,863,1174,3
39,0,3707,3707,3707,445,763,3
40,0,3696,3696,3696,567,792,3
41,0,3683,3683,3683,97,1111,3
42,0,3668,3668,3668,1399,1183,3
43,0,3665,3665,3665,1376,1262,3
44,0,3663,3663,3663,366,1175,3
45,0,3658,3658,3658,1166,629,3
46,0,3637,3637,3637,1436,330,3
47,0,3611,3611,3611,1539,854,3
48,0,3600,3600,3600,459,288,3
49,0,3593,3593,3593,821,464,3
50,0,3580,3580,3580,411,537,3
51,0,3568,3568,3568,1209,304,3
52,0,3567,3567,3567,150,162,3
53,0,3566,3566,3566,578,834,3
54,0,3565,3565,3565,614,736,3
55,0,3564,3564,3564,569,428,3
56,0,3560,3560,3560,1595,1138,3
57,0,3556,3556,3556,1733,980,3
58,0,3555,3555,3555,716,681,3
59,0,3544,3544,3544,645,1232,3
60,0,3542,3542,3542,609,649,3
61,0,3535,3535,3535,728,711,3
62,0,3529,3529,3529,89,698,3
63,0,3524,3524,3524,960,293,3
64,0,3516,3516,3516,493,498,3
65,0,3498,3498,3498,1469,1208,3
66,0,3497,3497,3497,627,735,3
67,0,3496,3496,3496,285,453,3
68,0,3489,3489,3489,520,1061,3
69,0,3475,3475,3475,1042,289,3
70,0,3467,3467,3467,533,472,3
71,0,3467,3467,3467,570,150,3
72,0,3464,3464,3464,557,315,3
73,0,3458,3458,3458,365,1200,3
74,0,3452,3452,3452,1114,802,3
75,0,3452,3452,3452,278,753,3
76,0,3449,3449,3449,1311,1109,3
77,0,3444,3444,3444,571,253,3
78,0,3443,3443,3443,794,282,3
79,0,3441,3441,3441,1195,242,3
80,0,3440,3440,3440,1797,888,3
81,0,3439,3439,3439,64,149,3
82,0,3434,3434,3434,392,268,3
83,0,3428,3428,3428,868,216,3
84,0,3426,3426,3426,296,1111,3
85,0,3426,3426,3426,1054,892,3
86,0,3415,3415,3415,463,1041,3
87,0,3403,3403,3403,1612,926,3
88,0,3401,3401,3401,813,451,3
89,0,3399,3399,3399,754,56,3
90,0,3391,3391,3391,683,1140,3
91,0,3377,3377,3377,1152,1175,3
92,0,3359,3359,3359,731,838,3
93,0,3356,3356,3356,1251,832,3
94,0,3350,3350,3350,208,1097,3
95,0,3341,3341,3341,475,626,3
96,0,3338,3338,3338,189,498,3
97,0,3331,3331,3331,1648,1250,3
