 ,Area,Mean,Min,Max,X,Y
1,0,7611,7611,7611,793,1930
2,0,7550,7550,7550,201,1848
3,0,7439,7439,7439,1420,771
4,0,7374,7374,7374,1847,1102
5,0,6843,6843,6843,879,900
6,0,6711,6711,6711,966,1088
7,0,6100,6100,6100,564,1508
8,0,6079,6079,6079,847,791
9,0,6003,6003,6003,1284,812
10,0,5950,5950,5950,490,1882
11,0,5911,5911,5911,1304,92
12,0,5813,5813,5813,1378,251
13,0,5772,5772,5772,1802,806
14,0,5723,5723,5723,1303,94
15,0,5630,5630,5630,1327,130
16,0,5532,5532,5532,749,1376
17,0,5377,5377,5377,311,1614
18,0,5348,5348,5348,919,1198
19,0,5337,5337,5337,1263,45
20,0,5247,5247,5247,1263,58
21,0,5246,5246,5246,1810,757
22,0,5233,5233,5233,1075,1362
23,0,5161,5161,5161,1310,77
24,0,5154,5154,5154,1330,891
25,0,5100,5100,5100,402,1189
26,0,5095,5095,5095,866,1047
27,0,5055,5055,5055,530,1027
28,0,5000,5000,5000,381,1273
29,0,4848,4848,4848,397,1283
30,0,4667,4667,4667,1625,203
31,0,4645,4645,4645,142,1521
32,0,4644,4644,4644,66,1670
33,0,4642,4642,4642,784,1173
34,0,4601,4601,4601,925,1346
35,0,4531,4531,4531,566,1227
36,0,4524,4524,4524,1398,1095
37,0,4506,4506,4506,1575,1129
38,0,4453,4453,4453,212,1236
39,0,4434,4434,4434,564,1132
40,0,4415,4415,4415,1318,292
41,0,4413,4413,4413,639,1159
42,0,4377,4377,4377,1338,1089
43,0,4370,4370,4370,482,1152
44,0,4362,4362,4362,1099,1274
45,0,4356,4356,4356,342,1293
46,0,4328,4328,4328,150,1380
47,0,4289,4289,4289,155,1489
48,0,4285,4285,4285,392,833
49,0,4283,4283,4283,1343,799
50,0,4279,4279,4279,578,1188
51,0,4264,4264,4264,288,1338
52,0,4246,4246,4246,973,667
53,0,4245,4245,4245,523,1370
54,0,4239,4239,4239,590,1371
55,0,4236,4236,4236,821,1407
56,0,4223,4223,4223,1586,1288
57,0,4210,4210,4210,964,992
58,0,4206,4206,4206,1698,1340
59,0,4206,4206,4206,495,822
60,0,4200,4200,4200,161,1781
61,0,4169,4169,4169,474,1037
62,0,4157,4157,4157,1213,1263
63,0,4146,4146,4146,221,1346
64,0,4136,4136,4136,407,1285
65,0,4133,4133,4133,591,848
66,0,4122,4122,4122,1847,1157
67,0,4119,4119,4119,651,1290
68,0,4115,4115,4115,956,813
69,0,4101,4101,4101,48,321
70,0,4066,4066,4066,1960,248
71,0,4065,4065,4065,52,1487
72,0,4062,4062,4062,459,1239
73,0,4062,4062,4062,390,1069
74,0,4055,4055,4055,428,1053
75,0,4054,4054,4054,1943,1211
76,0,4048,4048,4048,1733,878
77,0,4045,4045,4045,739,1046
78,0,4045,4045,4045,819,870
79,0,4040,4040,4040,924,1017
80,0,4030,4030,4030,1448,868
81,0,4028,4028,4028,434,1224
82,0,4013,4013,4013,425,1336
83,0,4009,4009,4009,1126,1124
84,0,4002,4002,4002,1041,1110
85,0,4000,4000,4000,1353,953
86,0,3993,3993,3993,965,1663
87,0,3993,3993,3993,1840,1210
88,0,3990,3990,3990,382,1535
89,0,3990,3990,3990,367,1108
90,0,3975,3975,3975,972,1020
91,0,3970,3970,3970,272,1273
92,0,3959,3959,3959,1097,844
93,0,3958,3958,3958,1411,1258
94,0,3941,3941,3941,595,1302
95,0,3940,3940,3940,1937,1207
96,0,3939,3939,3939,243,1162
97,0,3935,3935,3935,326,1121
98,0,3933,3933,3933,515,1335
99,0,3931,3931,3931,544,1268
100,0,3929,3929,3929,1184,1608
101,0,3929,3929,3929,762,1382
102,0,3924,3924,3924,607,1323
103,0,3907,3907,3907,600,1047
104,0,3904,3904,3904,1350,1083
105,0,3882,3882,3882,677,1129
106,0,3879,3879,3879,1474,1085
107,0,3877,3877,3877,1859,1879
108,0,3861,3861,3861,52,1443
109,0,3853,3853,3853,335,1203
110,0,3852,3852,3852,1777,0
111,0,3849,3849,3849,1411,816
