 ,Area,Mean,Min,Max,X,Y
1,0,8995,8995,8995,1575,1125
2,0,8250,8250,8250,134,1136
3,0,8243,8243,8243,561,1957
4,0,7802,7802,7802,58,1670
5,0,7799,7799,7799,1263,45
6,0,7715,7715,7715,919,1198
7,0,7359,7359,7359,1260,58
8,0,7334,7334,7334,501,1700
9,0,7182,7182,7182,1846,1101
10,0,7114,7114,7114,847,791
11,0,6915,6915,6915,16,1779
12,0,6894,6894,6894,1269,223
13,0,6848,6848,6848,161,1779
14,0,6798,6798,6798,431,1679
15,0,6785,6785,6785,1815,1543
16,0,6670,6670,6670,578,428
17,0,6523,6523,6523,368,76
18,0,6484,6484,6484,597,661
19,0,6434,6434,6434,1608,712
20,0,6420,6420,6420,323,910
21,0,6352,6352,6352,1845,273
22,0,6292,6292,6292,1949,474
23,0,6172,6172,6172,1448,380
24,0,6102,6102,6102,403,1138
25,0,6100,6100,6100,925,1345
26,0,5979,5979,5979,329,910
27,0,5964,5964,5964,1000,1052
28,0,5925,5925,5925,1846,447
29,0,5903,5903,5903,414,1598
30,0,5901,5901,5901,459,1904
31,0,5795,5795,5795,1810,757
32,0,5770,5770,5770,669,1433
33,0,5724,5724,5724,1128,1598
34,0,5644,5644,5644,1967,789
35,0,5592,5592,5592,32,1538
36,0,5585,5585,5585,1783,604
37,0,5573,5573,5573,1844,1787
38,0,5562,5562,5562,1318,1232
39,0,5555,5555,5555,1270,718
40,0,5525,5525,5525,690,195
41,0,5463,5463,5463,1719,1117
42,0,5452,5452,5452,796,1916
43,0,5437,5437,5437,1255,75
44,0,5424,5424,5424,1809,956
45,0,5406,5406,5406,61,1041
46,0,5351,5351,5351,878,900
47,0,5271,5271,5271,289,421
48,0,5252,5252,5252,1574,1129
49,0,5226,5226,5226,1793,951
50,0,5224,5224,5224,116,1550
51,0,5206,5206,5206,1799,805
52,0,5200,5200,5200,1290,292
53,0,5178,5178,5178,1303,292
54,0,5103,5103,5103,964,1086
55,0,5076,5076,5076,42,890
56,0,5064,5064,5064,48,322
57,0,5046,5046,5046,1462,889
58,0,4984,4984,4984,1835,917
59,0,4980,4980,4980,1317,286
60,0,4978,4978,4978,29,470
61,0,4977,4977,4977,697,1611
62,0,4965,4965,4965,215,644
63,0,4955,4955,4955,697,1245
64,0,4953,4953,4953,748,1314
65,0,4928,4928,4928,383,1535
66,0,4815,4815,4815,1251,190
67,0,4806,4806,4806,950,239
68,0,4799,4799,4799,717,446
69,0,4795,4795,4795,479,1186
70,0,4708,4708,4708,887,191
71,0,4705,4705,4705,1199,1956
72,0,4685,4685,4685,201,1847
73,0,4655,4655,4655,1891,669
74,0,4652,4652,4652,1620,1119
75,0,4623,4623,4623,1859,1878
76,0,4607,4607,4607,417,103
77,0,4602,4602,4602,496,898
78,0,4595,4595,4595,1094,1069
79,0,4590,4590,4590,1887,1038
80,0,4543,4543,4543,1338,1274
81,0,4530,4530,4530,1778,0
82,0,4513,4513,4513,1083,1331
83,0,4497,4497,4497,1359,1725
84,0,4474,4474,4474,1742,737
85,0,4451,4451,4451,1142,502
86,0,4439,4439,4439,1017,1615
87,0,4419,4419,4419,1840,1798
88,0,4407,4407,4407,726,864
89,0,4395,4395,4395,1681,703
90,0,4385,4385,4385,1506,639
91,0,4380,4380,4380,1621,204
92,0,4379,4379,4379,306,1198
93,0,4376,4376,4376,1836,1797
94,0,4357,4357,4357,202,998
95,0,4345,4345,4345,1936,870
96,0,4339,4339,4339,1428,1048
97,0,4330,4330,4330,510,1117
98,0,4327,4327,4327,1965,1155
99,0,4313,4313,4313,452,853
100,0,4297,4297,4297,690,1344
101,0,4266,4266,4266,1513,726
102,0,4222,4222,4222,181,323
103,0,4215,4215,4215,1248,133
104,0,4199,4199,4199,1356,787
105,0,4198,4198,4198,1393,688
106,0,4187,4187,4187,874,897
107,0,4157,4157,4157,306,1614
108,0,4151,4151,4151,1030,379
109,0,4146,4146,4146,1596,595
110,0,4144,4144,4144,587,1462
111,0,4140,4140,4140,1921,915
112,0,4137,4137,4137,905,1174
113,0,4120,4120,4120,455,574
114,0,4116,4116,4116,1211,866
115,0,4115,4115,4115,566,1507
116,0,4101,4101,4101,616,1229
117,0,4098,4098,4098,1558,1177
118,0,4069,4069,4069,1938,962
119,0,4044,4044,4044,516,1769
120,0,4039,4039,4039,867,1047
121,0,4028,4028,4028,667,1224
122,0,4001,4001,4001,343,1050
123,0,3994,3994,3994,1036,989
124,0,3985,3985,3985,1054,1156
125,0,3978,3978,3978,1486,964
126,0,3977,3977,3977,1392,1110
127,0,3959,3959,3959,1932,985
128,0,3958,3958,3958,1329,684
129,0,3954,3954,3954,1723,1238
130,0,3927,3927,3927,1743,831
131,0,3925,3925,3925,636,1220
132,0,3922,3922,3922,1782,693
133,0,3916,3916,3916,1386,1253
134,0,3916,3916,3916,28,444
135,0,3914,3914,3914,1890,946
136,0,3906,3906,3906,1591,1188
137,0,3895,3895,3895,33,1455
138,0,3889,3889,3889,962,805
139,0,3884,3884,3884,787,588
140,0,3881,3881,3881,1114,291
141,0,3879,3879,3879,1269,30
142,0,3866,3866,3866,1836,614
143,0,3865,3865,3865,329,1137
144,0,3858,3858,3858,1454,1117
145,0,3847,3847,3847,1580,1180
146,0,3845,3845,3845,594,1294
147,0,3840,3840,3840,762,1332
148,0,3838,3838,3838,925,72
149,0,3833,3833,3833,1375,777
150,0,3830,3830,3830,1777,604
151,0,3817,3817,3817,488,1881
152,0,3816,3816,3816,467,1410
153,0,3813,3813,3813,1491,1174
154,0,3811,3811,3811,1799,444
155,0,3808,3808,3808,1317,161
156,0,3801,3801,3801,657,1104
157,0,3799,3799,3799,569,1865
158,0,3794,3794,3794,1586,865
159,0,3792,3792,3792,580,1137
160,0,3788,3788,3788,964,1015
161,0,3786,3786,3786,178,1512
162,0,3785,3785,3785,1771,970
163,0,3774,3774,3774,867,761
164,0,3773,3773,3773,1208,371
165,0,3758,3758,3758,154,794
166,0,3740,3740,3740,1307,765
167,0,3738,3738,3738,1180,364
168,0,3737,3737,3737,1049,1053
169,0,3736,3736,3736,468,1697
170,0,3736,3736,3736,891,701
171,0,3734,3734,3734,972,1232
172,0,3729,3729,3729,170,1434
173,0,3728,3728,3728,1278,1048
