 ,Area,Mean,Min,Max,X,Y
1,0,1672,1672,1672,222,0
2,0,1572,1572,1572,175,30
3,0,1568,1568,1568,171,42
4,0,1534,1534,1534,166,52
5,0,1483,1483,1483,181,18
6,0,1441,1441,1441,187,3
7,0,1440,1440,1440,188,1
8,0,1405,1405,1405,219,7
9,0,1392,1392,1392,158,63
10,0,1369,1369,1369,214,17
11,0,1342,1342,1342,149,87
12,0,1267,1267,1267,207,29
13,0,1262,1262,1262,148,102
14,0,1236,1236,1236,788,415
15,0,1160,1160,1160,1233,7
16,0,1063,1063,1063,752,921
17,0,1059,1059,1059,731,1178
18,0,1047,1047,1047,664,38
19,0,1023,1023,1023,346,105
20,0,1011,1011,1011,90,167
21,0,1004,1004,1004,178,73
22,0,990,990,990,187,62
23,0,981,981,981,1490,41
24,0,980,980,980,485,588
25,0,972,972,972,54,211
26,0,966,966,966,102,150
27,0,951,951,951,590,139
28,0,950,950,950,1519,44
29,0,942,942,942,1210,315
30,0,940,940,940,1696,279
31,0,939,939,939,1341,615
32,0,939,939,939,1358,66
33,0,938,938,938,1679,504
34,0,936,936,936,1666,274
35,0,930,930,930,144,1
36,0,929,929,929,1426,471
37,0,925,925,925,335,176
38,0,920,920,920,898,937
39,0,918,918,918,1305,1230
40,0,916,916,916,658,1385
41,0,915,915,915,1102,549
42,0,914,914,914,369,848
43,0,913,913,913,411,671
44,0,912,912,912,118,973
45,0,910,910,910,1053,125
46,0,905,905,905,706,1298
47,0,902,902,902,819,693
48,0,901,901,901,773,1484
49,0,899,899,899,1242,752
50,0,898,898,898,1565,69
51,0,893,893,893,800,1004
52,0,893,893,893,1089,647
53,0,891,891,891,701,293
54,0,882,882,882,316,849
55,0,878,878,878,1569,761
56,0,878,878,878,355,571
57,0,877,877,877,1456,913
58,0,873,873,873,238,60
59,0,871,871,871,394,383
60,0,871,871,871,758,135
61,0,870,870,870,1235,40
62,0,869,869,869,388,1243
63,0,869,869,869,1354,1168
64,0,868,868,868,1625,1416
65,0,865,865,865,1492,776
66,0,865,865,865,1079,86
67,0,863,863,863,970,560
68,0,863,863,863,1199,328
69,0,859,859,859,1035,559
70,0,859,859,859,784,392
71,0,859,859,859,346,23
72,0,858,858,858,1546,125
73,0,857,857,857,729,1277
74,0,857,857,857,988,682
75,0,856,856,856,1358,467
76,0,855,855,855,1388,110
77,0,854,854,854,937,117
78,0,853,853,853,1137,1366
79,0,853,853,853,1450,956
80,0,851,851,851,1398,964
81,0,849,849,849,915,1354
82,0,849,849,849,1592,629
83,0,848,848,848,487,892
84,0,845,845,845,1412,392
85,0,841,841,841,1292,10
86,0,840,840,840,1053,349
87,0,840,840,840,1755,11
88,0,838,838,838,1279,61
89,0,836,836,836,609,860
90,0,836,836,836,1476,796
91,0,835,835,835,1384,194
92,0,833,833,833,1675,474
93,0,832,832,832,781,1106
94,0,831,831,831,604,911
95,0,831,831,831,553,618
96,0,830,830,830,1153,199
97,0,829,829,829,364,516
98,0,828,828,828,946,813
99,0,827,827,827,928,1211
100,0,827,827,827,715,1044
101,0,825,825,825,30,392
102,0,824,824,824,976,1426
103,0,824,824,824,1415,896
104,0,823,823,823,609,749
105,0,823,823,823,782,377
106,0,823,823,823,853,300
107,0,823,823,823,968,255
108,0,821,821,821,1008,1434
109,0,821,821,821,442,892
110,0,821,821,821,1065,146
111,0,820,820,820,1500,855
112,0,820,820,820,1859,78
113,0,817,817,817,1516,712
114,0,816,816,816,1526,1113
115,0,814,814,814,1205,755
116,0,814,814,814,1400,630
117,0,814,814,814,273,386
118,0,813,813,813,876,1035
119,0,812,812,812,1562,115
120,0,810,810,810,1695,575
121,0,810,810,810,1515,498
122,0,808,808,808,1257,435
123,0,808,808,808,1547,224
124,0,807,807,807,919,758
125,0,806,806,806,1707,1206
126,0,806,806,806,221,839
127,0,804,804,804,1475,1421
128,0,804,804,804,1129,614
129,0,804,804,804,740,329
130,0,803,803,803,62,803
131,0,802,802,802,1870,651
132,0,801,801,801,1369,888
133,0,801,801,801,373,192
134,0,800,800,800,1682,1249
135,0,799,799,799,1680,1385
136,0,799,799,799,877,79
137,0,799,799,799,1562,61
138,0,798,798,798,1721,283
139,0,797,797,797,1096,856
140,0,796,796,796,1096,155
141,0,795,795,795,580,641
142,0,795,795,795,643,234
143,0,794,794,794,884,1047
144,0,793,793,793,1877,1229
145,0,791,791,791,1101,1426
146,0,791,791,791,960,31
147,0,790,790,790,804,1077
148,0,790,790,790,358,1067
149,0,790,790,790,1313,519
150,0,789,789,789,1037,1163
151,0,789,789,789,1117,818
152,0,789,789,789,599,741
153,0,789,789,789,1876,641
154,0,789,789,789,1600,589
155,0,788,788,788,939,1296
156,0,788,788,788,1451,110
157,0,788,788,788,471,27
158,0,787,787,787,410,120
159,0,786,786,786,951,538
160,0,785,785,785,818,1445
161,0,785,785,785,999,977
162,0,785,785,785,1629,556
163,0,784,784,784,1512,876
164,0,784,784,784,949,658
165,0,783,783,783,437,528
166,0,782,782,782,1734,1166
167,0,782,782,782,1557,969
168,0,782,782,782,644,362
169,0,782,782,782,1764,288
170,0,781,781,781,1600,769
171,0,781,781,781,1580,701
172,0,781,781,781,196,330
173,0,780,780,780,219,1133
174,0,780,780,780,1676,1077
175,0,780,780,780,445,265
176,0,779,779,779,1638,1253
177,0,779,779,779,1566,1231
178,0,778,778,778,1751,444
179,0,776,776,776,418,346
180,0,775,775,775,1719,1194
181,0,775,775,775,1779,904
182,0,773,773,773,921,1396
183,0,771,771,771,116,597
184,0,771,771,771,1594,333
185,0,770,770,770,1506,946
186,0,770,770,770,976,819
187,0,770,770,770,449,232
188,0,769,769,769,887,980
189,0,768,768,768,648,1342
190,0,768,768,768,1047,1340
191,0,768,768,768,1372,488
192,0,767,767,767,1140,749
193,0,766,766,766,672,632
194,0,766,766,766,293,315
195,0,765,765,765,510,322
196,0,764,764,764,772,1111
197,0,764,764,764,798,930
198,0,763,763,763,1644,1275
199,0,763,763,763,598,1196
200,0,763,763,763,574,640
201,0,762,762,762,1573,121
202,0,762,762,762,1678,113
203,0,761,761,761,883,766
204,0,760,760,760,477,864
205,0,758,758,758,1104,1129
206,0,758,758,758,1743,868
207,0,758,758,758,620,579
208,0,758,758,758,1611,96
209,0,756,756,756,1866,965
210,0,756,756,756,1053,956
211,0,755,755,755,280,1083
212,0,755,755,755,843,999
213,0,755,755,755,823,923
214,0,755,755,755,411,913
215,0,755,755,755,1355,499
216,0,754,754,754,425,1369
217,0,754,754,754,1521,472
218,0,754,754,754,1667,288
219,0,753,753,753,1871,1159
220,0,753,753,753,1530,246
221,0,752,752,752,1382,1205
222,0,751,751,751,348,749
223,0,750,750,750,531,1411
224,0,750,750,750,462,1328
225,0,750,750,750,1426,1083
226,0,750,750,750,1527,861
227,0,750,750,750,674,826
228,0,749,749,749,286,931
229,0,749,749,749,1593,828
230,0,749,749,749,742,377
231,0,749,749,749,1485,355
232,0,749,749,749,1747,347
233,0,749,749,749,1244,152
234,0,747,747,747,1522,703
235,0,746,746,746,907,1057
236,0,746,746,746,278,1041
237,0,746,746,746,1858,685
238,0,746,746,746,207,380
239,0,745,745,745,1670,602
240,0,744,744,744,1566,1401
241,0,744,744,744,598,1323
242,0,744,744,744,557,185
243,0,743,743,743,1357,988
244,0,743,743,743,897,752
245,0,742,742,742,1352,1387
246,0,741,741,741,271,1095
247,0,741,741,741,119,885
248,0,741,741,741,1734,168
249,0,740,740,740,813,1330
250,0,740,740,740,140,1239
251,0,740,740,740,1302,1084
252,0,739,739,739,1435,691
253,0,738,738,738,875,1407
254,0,738,738,738,585,711
255,0,738,738,738,1428,360
256,0,737,737,737,359,948
257,0,737,737,737,1157,752
258,0,737,737,737,1297,390
259,0,737,737,737,889,56
260,0,736,736,736,1387,939
261,0,736,736,736,595,128
262,0,735,735,735,362,1407
263,0,735,735,735,1612,1361
264,0,735,735,735,1842,1067
265,0,735,735,735,1742,1060
266,0,735,735,735,1239,845
267,0,735,735,735,623,175
268,0,734,734,734,1398,843
269,0,733,733,733,1139,1396
270,0,733,733,733,896,517
271,0,733,733,733,988,308
272,0,732,732,732,1772,1370
273,0,732,732,732,823,336
274,0,732,732,732,1641,20
275,0,731,731,731,1457,1244
276,0,730,730,730,1526,810
277,0,730,730,730,1551,64
278,0,729,729,729,702,681
279,0,729,729,729,570,681
280,0,727,727,727,1354,1079
281,0,727,727,727,413,927
282,0,727,727,727,390,111
283,0,725,725,725,1700,504
284,0,725,725,725,1844,490
285,0,725,725,725,210,293
286,0,724,724,724,511,666
287,0,724,724,724,1017,241
288,0,723,723,723,754,1059
289,0,723,723,723,1274,364
290,0,723,723,723,139,166
291,0,722,722,722,544,1458
292,0,722,722,722,147,766
293,0,722,722,722,399,322
294,0,720,720,720,729,371
295,0,720,720,720,511,20
296,0,719,719,719,1395,1425
297,0,719,719,719,1491,1139
298,0,719,719,719,380,608
299,0,719,719,719,1340,558
300,0,719,719,719,577,176
301,0,718,718,718,80,851
302,0,718,718,718,207,764
303,0,718,718,718,981,44
304,0,717,717,717,739,1025
305,0,717,717,717,1156,137
306,0,716,716,716,1009,1342
307,0,716,716,716,153,952
308,0,716,716,716,1028,905
309,0,716,716,716,936,848
310,0,715,715,715,332,1014
311,0,715,715,715,688,992
312,0,715,715,715,1426,817
313,0,715,715,715,1141,610
314,0,715,715,715,1697,257
315,0,715,715,715,352,164
316,0,714,714,714,1302,1193
317,0,714,714,714,875,1190
318,0,714,714,714,1567,956
319,0,714,714,714,367,910
320,0,714,714,714,742,300
321,0,714,714,714,90,254
322,0,714,714,714,870,105
323,0,713,713,713,1300,1433
324,0,713,713,713,1546,1391
325,0,713,713,713,1166,1046
326,0,713,713,713,1349,1019
327,0,712,712,712,1635,862
328,0,711,711,711,590,1469
329,0,711,711,711,758,1382
330,0,711,711,711,727,1013
331,0,711,711,711,1652,888
332,0,711,711,711,1398,588
333,0,710,710,710,1100,1394
334,0,710,710,710,1764,975
335,0,710,710,710,611,931
336,0,710,710,710,1282,721
337,0,710,710,710,1361,646
338,0,710,710,710,1587,324
339,0,709,709,709,610,1337
340,0,709,709,709,1624,1290
341,0,709,709,709,561,1075
342,0,709,709,709,79,608
343,0,708,708,708,802,1320
344,0,708,708,708,141,978
345,0,708,708,708,1557,56
346,0,707,707,707,1445,1309
347,0,707,707,707,650,1011
348,0,707,707,707,311,707
349,0,706,706,706,987,1434
350,0,706,706,706,840,1104
351,0,706,706,706,1186,786
352,0,705,705,705,412,1404
353,0,705,705,705,395,1276
354,0,705,705,705,1316,639
355,0,705,705,705,117,544
356,0,705,705,705,1710,507
357,0,705,705,705,1476,297
358,0,705,705,705,1053,154
359,0,705,705,705,1240,96
360,0,705,705,705,799,47
361,0,704,704,704,1589,1196
362,0,704,704,704,220,1163
363,0,704,704,704,1054,579
364,0,704,704,704,563,160
365,0,703,703,703,1747,1363
366,0,703,703,703,458,1287
367,0,703,703,703,1618,73
368,0,702,702,702,1019,1445
369,0,702,702,702,740,1132
370,0,702,702,702,844,737
371,0,701,701,701,422,861
372,0,701,701,701,757,804
373,0,701,701,701,358,616
374,0,701,701,701,32,560
375,0,701,701,701,820,343
376,0,701,701,701,665,25
377,0,700,700,700,1379,1087
378,0,700,700,700,248,28
379,0,699,699,699,1166,901
380,0,699,699,699,1545,899
381,0,699,699,699,875,770
382,0,699,699,699,135,329
383,0,699,699,699,766,293
384,0,699,699,699,429,277
385,0,698,698,698,676,1337
386,0,698,698,698,1417,1124
387,0,698,698,698,1705,667
388,0,698,698,698,1617,476
389,0,697,697,697,375,1333
390,0,697,697,697,827,568
391,0,697,697,697,836,324
392,0,696,696,696,1793,840
393,0,696,696,696,609,0
394,0,695,695,695,1431,1375
395,0,695,695,695,970,854
396,0,694,694,694,1161,1387
397,0,694,694,694,1170,383
398,0,694,694,694,371,39
399,0,693,693,693,610,1267
400,0,693,693,693,224,1186
401,0,693,693,693,1544,620
402,0,693,693,693,1368,596
403,0,692,692,692,340,1139
404,0,691,691,691,1759,1355
405,0,691,691,691,1434,6
406,0,690,690,690,1477,1268
407,0,690,690,690,598,1240
408,0,690,690,690,347,1004
409,0,690,690,690,1802,920
410,0,690,690,690,1020,103
411,0,689,689,689,879,905
412,0,689,689,689,590,376
413,0,689,689,689,190,376
414,0,689,689,689,430,326
415,0,689,689,689,657,146
416,0,689,689,689,1858,93
417,0,689,689,689,488,79
418,0,689,689,689,893,41
