 ,Area,Mean,Min,Max,X,Y
1,0,11548,11548,11548,1539,230
2,0,11275,11275,11275,1920,1421
3,0,10941,10941,10941,1134,769
4,0,10824,10824,10824,713,1226
5,0,10739,10739,10739,1628,1462
6,0,10548,10548,10548,1975,774
7,0,10509,10509,10509,525,1231
8,0,10263,10263,10263,123,1438
9,0,10190,10190,10190,1289,621
10,0,10174,10174,10174,1036,1339
11,0,10167,10167,10167,1935,1324
12,0,10006,10006,10006,1015,1350
13,0,9978,9978,9978,41,745
14,0,9902,9902,9902,762,1503
15,0,9900,9900,9900,804,847
16,0,9751,9751,9751,757,857
17,0,9562,9562,9562,726,1232
18,0,9509,9509,9509,3,1402
19,0,9468,9468,9468,1382,789
20,0,9422,9422,9422,1973,1394
21,0,9293,9293,9293,1868,556
22,0,9249,9249,9249,778,763
23,0,9240,9240,9240,1636,657
24,0,9215,9215,9215,1905,1514
25,0,9155,9155,9155,15,162
26,0,9150,9150,9150,746,1298
27,0,9084,9084,9084,584,1337
28,0,9036,9036,9036,1004,216
29,0,9022,9022,9022,1563,808
30,0,8962,8962,8962,500,936
31,0,8895,8895,8895,553,1313
32,0,8838,8838,8838,1730,963
33,0,8833,8833,8833,1717,1289
34,0,8819,8819,8819,1794,832
35,0,8787,8787,8787,1096,1241
36,0,8732,8732,8732,1629,680
37,0,8716,8716,8716,699,863
38,0,8624,8624,8624,1556,260
39,0,8606,8606,8606,1632,1383
40,0,8560,8560,8560,1402,1390
41,0,8539,8539,8539,1586,843
42,0,8507,8507,8507,729,979
43,0,8477,8477,8477,1588,748
44,0,8431,8431,8431,1680,937
45,0,8373,8373,8373,487,853
46,0,8318,8318,8318,663,1437
47,0,8277,8277,8277,581,1424
48,0,8252,8252,8252,44,749
49,0,8157,8157,8157,733,1471
50,0,8068,8068,8068,609,1087
51,0,7960,7960,7960,665,50
52,0,7939,7939,7939,1247,848
53,0,7937,7937,7937,806,1450
54,0,7891,7891,7891,1879,811
55,0,7888,7888,7888,97,47
56,0,7847,7847,7847,1952,37
57,0,7840,7840,7840,1694,1476
58,0,7824,7824,7824,525,1502
59,0,7822,7822,7822,1797,988
60,0,7817,7817,7817,1431,726
61,0,7817,7817,7817,1676,632
62,0,7805,7805,7805,1871,607
63,0,7773,7773,7773,1097,1494
64,0,7753,7753,7753,715,1414
65,0,7739,7739,7739,1390,808
66,0,7730,7730,7730,109,1483
67,0,7725,7725,7725,1867,841
68,0,7700,7700,7700,1651,1443
69,0,7697,7697,7697,1669,1532
70,0,7668,7668,7668,1034,1316
71,0,7645,7645,7645,1307,857
72,0,7612,7612,7612,1173,1543
73,0,7569,7569,7569,1595,721
74,0,7564,7564,7564,509,930
75,0,7562,7562,7562,676,590
76,0,7509,7509,7509,1847,1313
77,0,7509,7509,7509,482,1262
78,0,7504,7504,7504,423,729
79,0,7472,7472,7472,746,1414
80,0,7468,7468,7468,53,114
81,0,7451,7451,7451,659,1520
82,0,7440,7440,7440,167,138
83,0,7341,7341,7341,1994,1337
84,0,7309,7309,7309,1642,589
85,0,7274,7274,7274,482,1297
86,0,7270,7270,7270,1475,986
87,0,7251,7251,7251,28,215
88,0,7249,7249,7249,1268,288
89,0,7166,7166,7166,597,1337
90,0,7132,7132,7132,819,666
91,0,7100,7100,7100,1031,766
92,0,7086,7086,7086,1047,935
93,0,7084,7084,7084,772,706
94,0,7084,7084,7084,140,38
95,0,7063,7063,7063,0,36
96,0,7010,7010,7010,1185,1003
97,0,7001,7001,7001,1749,564
98,0,6994,6994,6994,1002,1346
99,0,6750,6750,6750,427,711
100,0,6677,6677,6677,579,754
101,0,6665,6665,6665,1783,1261
102,0,6580,6580,6580,1042,988
103,0,6495,6495,6495,735,239
104,0,6431,6431,6431,1701,766
105,0,6408,6408,6408,914,328
106,0,6375,6375,6375,809,754
107,0,6352,6352,6352,549,884
108,0,6352,6352,6352,1215,227
109,0,6346,6346,6346,1873,584
110,0,6336,6336,6336,826,633
111,0,6334,6334,6334,1239,551
112,0,6302,6302,6302,673,594
113,0,6263,6263,6263,470,98
114,0,6201,6201,6201,66,206
115,0,6173,6173,6173,718,669
116,0,6152,6152,6152,69,131
117,0,6141,6141,6141,1743,1383
118,0,6134,6134,6134,1067,1566
119,0,6127,6127,6127,1417,852
120,0,6081,6081,6081,1812,197
121,0,6067,6067,6067,1860,559
122,0,6012,6012,6012,796,45
123,0,5987,5987,5987,1398,1424
124,0,5968,5968,5968,676,1311
125,0,5948,5948,5948,1315,806
126,0,5906,5906,5906,1598,248
127,0,5893,5893,5893,156,48
128,0,5870,5870,5870,1680,664
129,0,5870,5870,5870,1189,585
130,0,5858,5858,5858,8,894
131,0,5847,5847,5847,1960,1357
132,0,5824,5824,5824,919,962
133,0,5814,5814,5814,478,657
134,0,5801,5801,5801,478,1351
135,0,5791,5791,5791,1597,636
136,0,5785,5785,5785,543,1419
137,0,5778,5778,5778,20,1528
138,0,5762,5762,5762,631,789
139,0,5741,5741,5741,1190,324
140,0,5741,5741,5741,799,265
141,0,5741,5741,5741,663,25
142,0,5699,5699,5699,1962,1212
143,0,5686,5686,5686,549,37
144,0,5672,5672,5672,1857,1601
145,0,5665,5665,5665,1355,1304
146,0,5651,5651,5651,1197,580
147,0,5649,5649,5649,1234,1409
148,0,5631,5631,5631,1748,1513
149,0,5631,5631,5631,1724,1492
150,0,5631,5631,5631,66,1085
151,0,5571,5571,5571,42,54
152,0,5539,5539,5539,3,1216
153,0,5529,5529,5529,1919,1597
154,0,5518,5518,5518,26,1356
155,0,5513,5513,5513,1586,796
156,0,5495,5495,5495,1389,245
157,0,5474,5474,5474,1187,316
158,0,5470,5470,5470,1107,1458
159,0,5465,5465,5465,787,1512
160,0,5456,5456,5456,1695,713
161,0,5440,5440,5440,1278,687
162,0,5430,5430,5430,1802,785
163,0,5428,5428,5428,482,50
164,0,5414,5414,5414,74,1413
165,0,5391,5391,5391,1587,784
166,0,5366,5366,5366,1498,137
167,0,5364,5364,5364,1242,1243
