 ,Area,Mean,Min,Max,X,Y
1,0,1471,1471,1471,1189,802
2,0,1466,1466,1466,1277,796
3,0,1447,1447,1447,1099,176
4,0,1314,1314,1314,1289,105
5,0,1299,1299,1299,694,333
6,0,1298,1298,1298,1199,798
7,0,1291,1291,1291,1228,530
8,0,1287,1287,1287,619,481
9,0,1264,1264,1264,990,498
10,0,1259,1259,1259,1170,717
11,0,1255,1255,1255,1225,659
12,0,1231,1231,1231,1083,722
13,0,1227,1227,1227,995,981
14,0,1227,1227,1227,436,164
15,0,1219,1219,1219,1292,768
16,0,1208,1208,1208,1094,483
17,0,1207,1207,1207,1155,347
18,0,1204,1204,1204,160,672
19,0,1201,1201,1201,1172,673
20,0,1201,1201,1201,1080,177
21,0,1201,1201,1201,314,103
22,0,1197,1197,1197,1220,403
23,0,1193,1193,1193,693,843
24,0,1189,1189,1189,955,449
25,0,1186,1186,1186,595,101
26,0,1184,1184,1184,347,404
27,0,1180,1180,1180,353,144
28,0,1177,1177,1177,752,803
29,0,1172,1172,1172,319,425
30,0,1168,1168,1168,884,759
31,0,1168,1168,1168,1054,515
32,0,1166,1166,1166,1252,657
33,0,1165,1165,1165,1080,698
34,0,1165,1165,1165,1283,665
35,0,1164,1164,1164,764,822
36,0,1161,1161,1161,572,122
37,0,1160,1160,1160,1276,900
38,0,1156,1156,1156,180,977
39,0,1145,1145,1145,738,155
40,0,1141,1141,1141,370,886
41,0,1137,1137,1137,783,716
42,0,1135,1135,1135,1155,164
43,0,1135,1135,1135,701,21
44,0,1133,1133,1133,1203,833
45,0,1133,1133,1133,1043,833
46,0,1133,1133,1133,1293,487
47,0,1129,1129,1129,486,779
48,0,1129,1129,1129,936,125
49,0,1128,1128,1128,853,350
50,0,1127,1127,1127,673,708
51,0,1126,1126,1126,60,451
52,0,1126,1126,1126,1291,438
53,0,1125,1125,1125,987,102
54,0,1124,1124,1124,1193,555
55,0,1123,1123,1123,696,449
56,0,1123,1123,1123,347,413
57,0,1122,1122,1122,1251,489
58,0,1121,1121,1121,1163,189
59,0,1120,1120,1120,1056,408
60,0,1115,1115,1115,1186,730
61,0,1115,1115,1115,522,551
62,0,1115,1115,1115,823,187
63,0,1114,1114,1114,890,761
64,0,1114,1114,1114,1253,92
65,0,1111,1111,1111,370,10
66,0,1107,1107,1107,508,450
67,0,1105,1105,1105,1048,684
68,0,1104,1104,1104,677,702
69,0,1103,1103,1103,1307,681
70,0,1103,1103,1103,1250,165
71,0,1101,1101,1101,1024,408
72,0,1098,1098,1098,462,973
73,0,1095,1095,1095,645,348
74,0,1095,1095,1095,484,182
75,0,1094,1094,1094,510,428
76,0,1093,1093,1093,823,977
77,0,1093,1093,1093,1131,341
78,0,1092,1092,1092,1006,841
79,0,1092,1092,1092,938,40
80,0,1090,1090,1090,616,358
81,0,1087,1087,1087,578,578
82,0,1085,1085,1085,344,109
83,0,1083,1083,1083,1167,534
84,0,1083,1083,1083,441,366
85,0,1082,1082,1082,422,850
86,0,1082,1082,1082,148,187
87,0,1080,1080,1080,479,745
88,0,1080,1080,1080,1093,178
89,0,1078,1078,1078,747,472
90,0,1077,1077,1077,1200,694
91,0,1077,1077,1077,387,304
92,0,1073,1073,1073,646,848
93,0,1071,1071,1071,242,693
94,0,1070,1070,1070,601,519
95,0,1069,1069,1069,738,463
96,0,1068,1068,1068,1271,718
97,0,1066,1066,1066,379,481
98,0,1066,1066,1066,204,147
99,0,1065,1065,1065,1202,675
100,0,1064,1064,1064,928,74
101,0,1061,1061,1061,1306,648
102,0,1061,1061,1061,48,362
103,0,1059,1059,1059,1273,881
104,0,1059,1059,1059,1214,366
105,0,1058,1058,1058,1015,710
106,0,1058,1058,1058,557,542
107,0,1057,1057,1057,790,145
108,0,1056,1056,1056,580,59
109,0,1055,1055,1055,217,254
110,0,1054,1054,1054,623,481
111,0,1054,1054,1054,133,93
112,0,1054,1054,1054,279,49
113,0,1053,1053,1053,1223,635
114,0,1052,1052,1052,199,516
115,0,1052,1052,1052,372,350
116,0,1051,1051,1051,1187,794
117,0,1051,1051,1051,306,330
118,0,1051,1051,1051,829,175
119,0,1049,1049,1049,363,888
120,0,1047,1047,1047,354,107
121,0,1046,1046,1046,490,983
122,0,1044,1044,1044,669,108
123,0,1043,1043,1043,79,820
124,0,1043,1043,1043,342,299
125,0,1041,1041,1041,1043,664
126,0,1040,1040,1040,396,867
127,0,1039,1039,1039,1310,639
128,0,1039,1039,1039,891,416
129,0,1036,1036,1036,901,865
130,0,1035,1035,1035,732,523
131,0,1033,1033,1033,406,849
132,0,1033,1033,1033,956,793
133,0,1033,1033,1033,983,425
134,0,1032,1032,1032,1272,10
135,0,1031,1031,1031,882,750
136,0,1030,1030,1030,1287,827
137,0,1030,1030,1030,1049,702
138,0,1030,1030,1030,1321,667
139,0,1030,1030,1030,454,342
140,0,1029,1029,1029,144,3
141,0,1027,1027,1027,714,24
142,0,1025,1025,1025,1322,952
143,0,1024,1024,1024,862,48
144,0,1022,1022,1022,815,201
145,0,1017,1017,1017,445,751
146,0,1017,1017,1017,105,655
147,0,1017,1017,1017,514,392
148,0,1017,1017,1017,346,303
149,0,1016,1016,1016,351,414
150,0,1016,1016,1016,970,111
151,0,1016,1016,1016,106,93
152,0,1016,1016,1016,205,77
153,0,1015,1015,1015,630,757
154,0,1014,1014,1014,361,420
155,0,1014,1014,1014,436,169
156,0,1013,1013,1013,1140,343
157,0,1011,1011,1011,393,395
158,0,1010,1010,1010,4,484
159,0,1010,1010,1010,1207,151
160,0,1008,1008,1008,702,720
161,0,1008,1008,1008,93,680
162,0,1008,1008,1008,567,19
163,0,1006,1006,1006,774,701
164,0,1006,1006,1006,670,125
165,0,1004,1004,1004,429,418
166,0,1003,1003,1003,1111,487
167,0,1002,1002,1002,1258,962
168,0,1001,1001,1001,156,725
169,0,1001,1001,1001,1097,165
170,0,1000,1000,1000,866,713
171,0,1000,1000,1000,947,460
172,0,1000,1000,1000,74,130
173,0,999,999,999,172,308
174,0,998,998,998,478,694
175,0,998,998,998,865,679
176,0,998,998,998,80,453
177,0,997,997,997,317,1
178,0,994,994,994,477,769
179,0,994,994,994,1261,131
180,0,993,993,993,850,815
181,0,993,993,993,1195,22
182,0,991,991,991,666,842
183,0,990,990,990,450,25
184,0,989,989,989,687,982
185,0,987,987,987,1209,42
186,0,986,986,986,397,951
187,0,986,986,986,478,784
188,0,986,986,986,879,129
189,0,984,984,984,1142,73
190,0,984,984,984,677,15
191,0,980,980,980,964,707
192,0,980,980,980,56,435
193,0,980,980,980,99,348
194,0,979,979,979,57,122
195,0,978,978,978,472,716
196,0,978,978,978,473,308
197,0,977,977,977,1192,393
198,0,977,977,977,931,328
199,0,977,977,977,620,93
200,0,975,975,975,1311,112
201,0,974,974,974,1151,836
202,0,974,974,974,654,102
203,0,973,973,973,1272,857
204,0,973,973,973,1036,177
205,0,972,972,972,492,947
206,0,972,972,972,1127,529
207,0,971,971,971,748,777
208,0,971,971,971,563,769
209,0,970,970,970,54,379
210,0,970,970,970,1008,142
211,0,969,969,969,1231,658
212,0,969,969,969,637,98
213,0,967,967,967,267,673
214,0,967,967,967,267,238
215,0,966,966,966,1184,982
216,0,966,966,966,779,682
217,0,965,965,965,425,928
218,0,965,965,965,1047,839
219,0,965,965,965,608,779
220,0,965,965,965,962,468
221,0,965,965,965,415,363
222,0,965,965,965,654,341
223,0,964,964,964,803,391
224,0,963,963,963,703,861
225,0,962,962,962,872,985
226,0,962,962,962,1278,876
227,0,962,962,962,1235,482
228,0,962,962,962,522,390
229,0,961,961,961,125,310
230,0,960,960,960,363,268
231,0,960,960,960,620,133
232,0,959,959,959,6,801
233,0,957,957,957,377,940
234,0,957,957,957,157,844
235,0,957,957,957,1317,71
236,0,956,956,956,245,678
237,0,955,955,955,347,1
238,0,954,954,954,1159,324
239,0,954,954,954,624,122
240,0,953,953,953,1261,161
241,0,951,951,951,1285,683
242,0,951,951,951,244,479
243,0,951,951,951,1262,406
244,0,950,950,950,202,959
245,0,947,947,947,1072,987
246,0,946,946,946,1029,394
247,0,945,945,945,971,979
248,0,945,945,945,442,971
249,0,945,945,945,420,89
250,0,944,944,944,1099,416
251,0,943,943,943,204,802
252,0,943,943,943,856,737
253,0,943,943,943,373,719
254,0,942,942,942,214,783
255,0,942,942,942,980,695
256,0,941,941,941,1075,548
257,0,940,940,940,882,863
258,0,940,940,940,628,582
259,0,940,940,940,832,269
260,0,939,939,939,1038,158
261,0,938,938,938,24,765
262,0,938,938,938,1117,714
263,0,937,937,937,570,420
264,0,936,936,936,458,853
265,0,935,935,935,594,708
266,0,934,934,934,906,330
267,0,934,934,934,1159,76
268,0,933,933,933,124,422
269,0,933,933,933,1239,91
270,0,932,932,932,961,655
271,0,931,931,931,141,101
272,0,930,930,930,873,714
273,0,930,930,930,714,704
274,0,930,930,930,699,642
275,0,930,930,930,8,523
276,0,929,929,929,746,646
277,0,929,929,929,322,129
278,0,928,928,928,720,517
279,0,927,927,927,593,793
280,0,927,927,927,1119,151
281,0,923,923,923,906,557
282,0,923,923,923,794,500
283,0,922,922,922,471,967
284,0,922,922,922,779,216
285,0,922,922,922,1191,66
286,0,921,921,921,1248,780
287,0,921,921,921,959,23
288,0,920,920,920,893,670
289,0,919,919,919,1269,743
290,0,919,919,919,1012,660
291,0,919,919,919,1300,500
292,0,919,919,919,943,334
293,0,918,918,918,1200,970
294,0,918,918,918,1304,676
295,0,916,916,916,929,578
296,0,916,916,916,337,34
297,0,914,914,914,433,836
298,0,913,913,913,35,889
299,0,913,913,913,54,873
300,0,913,913,913,1147,727
301,0,913,913,913,464,459
302,0,912,912,912,294,679
303,0,911,911,911,244,267
304,0,911,911,911,1190,51
305,0,911,911,911,305,20
306,0,910,910,910,1251,354
307,0,910,910,910,1156,46
308,0,910,910,910,694,6
309,0,909,909,909,1283,675
310,0,909,909,909,455,25
311,0,908,908,908,1304,494
312,0,908,908,908,677,34
313,0,907,907,907,230,477
314,0,906,906,906,133,962
315,0,906,906,906,736,471
316,0,906,906,906,1096,431
317,0,905,905,905,771,437
318,0,905,905,905,22,174
319,0,905,905,905,650,163
320,0,904,904,904,237,690
321,0,904,904,904,984,35
322,0,903,903,903,960,631
323,0,903,903,903,639,522
324,0,902,902,902,348,808
325,0,902,902,902,1300,65
326,0,901,901,901,464,822
327,0,901,901,901,822,150
328,0,899,899,899,221,444
329,0,899,899,899,719,124
330,0,897,897,897,934,584
331,0,896,896,896,1224,945
332,0,896,896,896,85,858
333,0,896,896,896,1315,770
334,0,896,896,896,794,578
335,0,896,896,896,321,113
336,0,895,895,895,978,429
337,0,895,895,895,814,391
338,0,895,895,895,481,328
339,0,895,895,895,1254,137
340,0,892,892,892,684,802
341,0,890,890,890,737,772
342,0,890,890,890,1086,428
343,0,889,889,889,756,362
344,0,889,889,889,286,343
345,0,889,889,889,360,113
346,0,887,887,887,673,839
347,0,887,887,887,1153,576
348,0,887,887,887,169,198
349,0,887,887,887,476,46
350,0,886,886,886,828,503
351,0,886,886,886,1184,420
352,0,886,886,886,859,388
353,0,886,886,886,1076,176
354,0,885,885,885,796,557
355,0,884,884,884,444,155
356,0,884,884,884,66,136
357,0,883,883,883,1290,516
358,0,882,882,882,1050,412
359,0,880,880,880,1298,680
360,0,880,880,880,1272,623
361,0,878,878,878,225,282
362,0,878,878,878,126,107
363,0,877,877,877,1151,400
364,0,877,877,877,1108,333
365,0,877,877,877,685,95
366,0,877,877,877,1284,9
367,0,876,876,876,1259,99
368,0,875,875,875,740,752
369,0,875,875,875,155,705
370,0,874,874,874,71,820
371,0,874,874,874,749,486
372,0,874,874,874,68,32
373,0,873,873,873,1216,345
374,0,873,873,873,236,21
375,0,872,872,872,1005,870
376,0,872,872,872,33,484
377,0,872,872,872,1106,377
378,0,871,871,871,1294,414
379,0,871,871,871,164,128
380,0,871,871,871,661,87
381,0,871,871,871,829,55
382,0,871,871,871,558,4
383,0,870,870,870,948,746
384,0,870,870,870,856,82
385,0,869,869,869,423,407
386,0,869,869,869,518,64
387,0,868,868,868,875,816
388,0,868,868,868,177,651
389,0,868,868,868,1285,184
390,0,867,867,867,998,882
391,0,867,867,867,694,772
392,0,867,867,867,507,513
393,0,866,866,866,1014,878
394,0,866,866,866,801,488
395,0,866,866,866,743,475
396,0,866,866,866,963,449
397,0,866,866,866,815,410
398,0,866,866,866,627,310
399,0,865,865,865,915,667
400,0,865,865,865,113,251
401,0,864,864,864,212,765
402,0,864,864,864,303,385
403,0,863,863,863,1272,966
404,0,862,862,862,922,221
405,0,862,862,862,162,6
406,0,861,861,861,330,841
407,0,860,860,860,89,469
408,0,860,860,860,571,338
409,0,859,859,859,1145,823
410,0,858,858,858,914,812
411,0,858,858,858,1194,765
412,0,858,858,858,19,680
413,0,858,858,858,891,346
414,0,858,858,858,577,126
415,0,857,857,857,66,836
416,0,857,857,857,690,433
417,0,856,856,856,485,191
418,0,855,855,855,976,159
419,0,854,854,854,649,187
420,0,853,853,853,1089,770
421,0,853,853,853,659,734
422,0,853,853,853,387,726
423,0,853,853,853,531,550
424,0,852,852,852,432,978
425,0,851,851,851,61,946
